,Name,Price,Recorded_On,Search_Word,Link,ISBN-10,ISBN-13,Language,Paperback,Publisher,File Size,Print Length,Publication Date,Simultaneous Device Usage,Failed SS,Series,Hardcover,Page Numbers Source ISBN
89,Hands-Science-Python-Machine-Learning-ebook,$19.79,2019-02-02,Data Science,https://www.amazon.com/Hands-Science-Python-Machine-Learning-ebook/dp/B072QBVXGH,,,,,,,,,,True,,,
90,1107149894-9781107149892-Statistical-Inference-Hardcover,$139.32,2019-02-02,Data Science,https://www.amazon.com/1107149894-9781107149892-Statistical-Inference-Hardcover/dp/B07KSBDM2Q,,,,,,,,,,True,,,
91,Wireless-Temperature-Monitoring-Unlimited-Historical,$149.00,2019-02-02,Data Science,https://www.amazon.com/Wireless-Temperature-Monitoring-Unlimited-Historical/dp/B01HH7YD2Y,,,,,,,,,,True,,,
92,Entertainment-Science-Analytics-Practical-Theory,$116.10,2019-02-02,Data Science,https://www.amazon.com/Entertainment-Science-Analytics-Practical-Theory/dp/3319892908,3319892908,978-3319892900,English,,"Springer; 1st ed. 2019 edition (August 2, 2018)",,,,,,,865 pages,
93,Entertainment-Science-Analytics-Practical-Theory-ebook,$95.20,2019-02-02,Data Science,https://www.amazon.com/Entertainment-Science-Analytics-Practical-Theory-ebook/dp/B07FMNPV2T,,,,,,,,,,True,,,
94,Machine-Learning-Essentials-Everybody-understand-ebook,$5.99,2019-02-02,Data Science,https://www.amazon.com/Machine-Learning-Essentials-Everybody-understand-ebook/dp/B07N15P5FV,,,,,"AI Sciences LLC (January 21, 2019)",4300 KB,108 pages,"January 21, 2019",Unlimited,,,,
95,Like-Data-Maybe-People-Science,$14.99,2019-02-02,Data Science,https://www.amazon.com/Like-Data-Maybe-People-Science/dp/B07GW38JFH,,,,,,,,,,True,,,
96,Karono-Standard-Footprint-Connector-Patching,$12.99,2019-02-02,Data Science,https://www.amazon.com/Karono-Standard-Footprint-Connector-Patching/dp/B07FRSVZLP,,,,,,,,,,True,,,
97,Building-Data-Science-Teams-Patil-ebook,$0.00,2019-02-02,Data Science,https://www.amazon.com/Building-Data-Science-Teams-Patil-ebook/dp/B005O4U3ZE,,,,,"Radar; 1 edition (September 15, 2011)",1638 KB,31 pages,"September 15, 2011",Unlimited,,,,
98,Excel-with-Business-Introduction-Science,$29.00,2019-02-02,Data Science,https://www.amazon.com/Excel-with-Business-Introduction-Science/dp/B076MXMXV1,,,,,,,,,,True,,,
99,Meaning-Data-Statistics-Courses-Mathematics,$15.92,2019-02-02,Data Science,https://www.amazon.com/Meaning-Data-Statistics-Courses-Mathematics/dp/B000RC2RP2,,,,,,,,,,True,,,
100,Data-Science-Transforming-Health-Care-ebook,$0.00,2019-02-02,Data Science,https://www.amazon.com/Data-Science-Transforming-Health-Care-ebook/dp/B008Y1O0M6,,,,,"O'Reilly Media; 1 edition (August 24, 2012)",242 KB,27 pages,"August 31, 2012",Unlimited,,,,
101,Meaning-Data-Statistics-Courses-Mathematics,$15.92,2019-02-02,Data Science,https://www.amazon.com/Meaning-Data-Statistics-Courses-Mathematics/dp/B000RC2RP2,,,,,,,,,,True,,,
102,Data-Jujitsu-Turning-into-Product-ebook,$0.00,2019-02-02,Data Science,https://www.amazon.com/Data-Jujitsu-Turning-into-Product-ebook/dp/B008HMN5BE,,,,,"O'Reilly Media; 1 edition (November 14, 2012)",1509 KB,32 pages,"July 19, 2012",Unlimited,,,,
103,Davis-Instruments-6510USB-WeatherLink-Software,$124.45,2019-02-02,Data Science,https://www.amazon.com/Davis-Instruments-6510USB-WeatherLink-Software/dp/B001AMKC14,,,,,,,,,,True,,,
104,Principles-Data-Science-techniques-making,$26.63,2019-02-02,Data Science,https://www.amazon.com/Principles-Data-Science-techniques-making/dp/1785887912,9781785887918,978-1785887918,English,388 pages,"Packt Publishing - ebooks Account (December 16, 2016)",,,,,,,,
105,Principles-Data-Science-techniques-making-ebook,$22.39,2019-02-02,Data Science,https://www.amazon.com/Principles-Data-Science-techniques-making-ebook/dp/B01A8T8YNC,,,,,,,,,,True,,,
106,Data-Science-Create-Questions-Deliver-ebook,$19.24,2019-02-02,Data Science,https://www.amazon.com/Data-Science-Create-Questions-Deliver-ebook/dp/B01N421L60,,,,,,,,,,True,,,
107,Data-Science-Create-Questions-Deliver,$37.41,2019-02-02,Data Science,https://www.amazon.com/Data-Science-Create-Questions-Deliver/dp/1484222520,9781484222522,978-1484222522,English,251 pages,"Apress; 1st ed. edition (November 18, 2016)",,,,,,,,
